continent,bioregion,country,plant_sp,plot_rank1,cols_country,cols_magma,cols_viridis,cols_continent1,cols_continent2,cols_continent_d1,cols_continent_d2,plot_rank2,cols_bioregions1,cols_bioregions2,cols_bioregions_d1,cols_bioregions_d2
Europe,Mediterranean,Spain,Chamaerops humilis,1,#efc47e,#000004FF,#440154FF,#FFE082,#FFE082,#FFCA28FF,#FFCA28FF,1,#90CAF9,#90CAF9,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Corema album,2,#f3ad6a,#040414FF,#470E61FF,#FFD75B,#FFD75B,#FFCA28FF,#FFCA28FF,2,#6FBAF6,#6FBAF6,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Juniperus macrocarpa,3,#E4C7F1,#0C0927FF,#481B6DFF,#FFCF3B,#FFCF3B,#FFCA28FF,#FFCA28FF,3,#53ADF5,#53ADF5,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Juniperus phoenicea,4,#D1AFE8,#170F3CFF,#482777FF,#FFC71F,#FFC71F,#FFCA28FF,#FFCA28FF,4,#39A1F4,#39A1F4,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Laurus nobilis,5,#B998DD,#231151FF,#46337EFF,#FFC107,#FFC107,#FFCA28FF,#FFCA28FF,5,#2196F3,#2196F3,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Osyris lanceolata,6,#9F82CE,#321066FF,#433E85FF,#FFB601,#FFB601,#FFCA28FF,#FFCA28FF,6,#1E8BE8,#1E8BE8,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Phillyrea angustifolia,7,#826DBA,#410F75FF,#3F4889FF,#FFA900,#FFA900,#FFCA28FF,#FFCA28FF,7,#1B7FDB,#1B7FDB,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Pistacia lentiscus,8,#A9dc67,#51127CFF,#3B528BFF,#FF9B00,#FF9B00,#FFCA28FF,#FFCA28FF,8,#1871CD,#1871CD,#42A5F5FF,#42A5F5FF
Europe,Mediterranean,Spain,Prunus mahaleb,9,#39AB7e,#5F187FFF,#365C8DFF,#FF8F00,#FF8F00,#FFCA28FF,#FFCA28FF,9,#1565C0,#1565C0,#42A5F5FF,#42A5F5FF
America,Temperate,Argentina,Lithraea molleoides,21,#F4A3A8,#F8765CFF,#4AC16DFF,#90CAF9,#80CBC4,#42A5F5FF,#26A69AFF,10,#FFE082,#FFE082,#FFCA28FF,#FFCA28FF
America,Temperate,Argentina,Prosopis flexuosa,22,#E98D99,#FB8861FF,#5DC863FF,#6FBAF6,#59BBB2,#42A5F5FF,#26A69AFF,11,#FFC107,#FFC107,#FFCA28FF,#FFCA28FF
America,Temperate,Brazil,Schinus terebinthifolia,27,#93355D,#FDDC9EFF,#CFE11CFF,#1B7FDB,#008173,#42A5F5FF,#26A69AFF,12,#FF8F00,#FF8F00,#FFCA28FF,#FFCA28FF
Asia,Tropical,India,Bursera penicillata,10,#A8DBD9,#6D1D81FF,#32658EFF,#CE93D8,#B39DDB,#AB47BCFF,#7E57C2FF,13,#CE93D8,#EF9A9A,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Canthium coromandelicum,11,#96CFD1,#7B2382FF,#2E6E8EFF,#C279CE,#9E81D1,#AB47BCFF,#7E57C2FF,14,#C682D2,#EB8B8B,#AB47BCFF,#EF5350FF
America,Tropical,Brazil,Cecropia glaziovii,23,#DD788B,#FD9969FF,#71CF57FF,#53ADF5,#39AEA3,#42A5F5FF,#26A69AFF,15,#BF72CC,#E77C7C,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Erythroxylum monogynum,12,#85C4C9,#892881FF,#2A768EFF,#B761C5,#8B69C8,#AB47BCFF,#7E57C2FF,16,#B863C6,#E66F6E,#AB47BCFF,#EF5350FF
America,Tropical,Brazil,Euterpe edulis,24,#CE647F,#FEA973FF,#87D549FF,#39A1F4,#1CA295,#42A5F5FF,#26A69AFF,17,#B257C2,#EA6361,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Flacourtia indica,13,#76B7C0,#982D80FF,#277F8EFF,#AD4DBE,#7B54C0,#AB47BCFF,#7E57C2FF,18,#AC4BBD,#ED5754,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Flueggea leucopyrus,14,#68ABB8,#A7317DFF,#24878EFF,#A43AB7,#6B3FB9,#AB47BCFF,#7E57C2FF,19,#A73FB9,#F04F49,#AB47BCFF,#EF5350FF
America,Tropical,Brazil,Henriettea succosa,25,#BC5374,#FEBA80FF,#9FDA3AFF,#2196F3,#009688,#42A5F5FF,#26A69AFF,20,#A133B4,#F2493F,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Heynea trijuga,15,#5B9DAF,#B63679FF,#21908CFF,#9C27B0,#6237B3,#AB47BCFF,#7E57C2FF,21,#9C27B0,#F44336,#AB47BCFF,#EF5350FF
America,Tropical,Peru,Marcgravia longifolia,29,#672044,#FCFDBFFF,#FDE725FF,#1565C0,#00695C,#42A5F5FF,#26A69AFF,22,#9625AD,#EE3F35,#AB47BCFF,#EF5350FF
America,Tropical,Brazil,Miconia irwinii,26,#A84369,#FECB8EFF,#B7DE2AFF,#1E8BE8,#008C7E,#42A5F5FF,#26A69AFF,23,#9124AB,#E83B35,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Myristica dactyloides,16,#4F90A6,#C53C75FF,#1F998AFF,#9325AC,#5B33AF,#AB47BCFF,#7E57C2FF,24,#8B23A9,#E23734,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Naringi crenulata,17,#45819A,#D3436EFF,#1FA187FF,#8A22A8,#522DA8,#AB47BCFF,#7E57C2FF,25,#8421A5,#DB3432,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Persea macrantha,18,#3B738F,#E04C67FF,#24AA83FF,#7E20A3,#4929A3,#AB47BCFF,#7E57C2FF,26,#7D1FA3,#D5302F,#AB47BCFF,#EF5350FF
America,Tropical,Ecuador,Prestoea decurrens,28,#7D2A50,#FCECAEFF,#E7E419FF,#1871CD,#007567,#42A5F5FF,#26A69AFF,27,#761EA0,#CF2D2D,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Santalum album,19,#326481,#EB5760FF,#2DB27DFF,#741D9E,#3E239B,#AB47BCFF,#7E57C2FF,28,#701C9C,#CA2A2A,#AB47BCFF,#EF5350FF
Asia,Tropical,India,Ziziphus oenopolia,20,#2A5674,#F3655CFF,#3ABA76FF,#6A1B9A,#311B92,#AB47BCFF,#7E57C2FF,29,#6A1B9A,#C62828,#AB47BCFF,#EF5350FF
