sp;Carollia_perspicilatta;Sturnira_lilium;Vampyrops_lineatus;Artibeus_planirostris;Glossophaga_soricina;Artibeus_lituratus;Chiroderma_doriae
Piper_amalago;24;5;0;0;0;0;0
Cecropia_pachystachya;1;1;14;0;1;0;0
unidentified1;7;6;0;2;0;0;0
Piper_gaudichaudianum;11;1;0;0;0;0;0
Ficus_sp;0;1;4;1;0;1;1
Semente_n?o_identificada;1;4;3;0;0;0;0
Piper_arboreum;1;2;1;0;0;0;0
Solanum_sp3;0;4;0;0;0;0;0
Piper_sp;2;1;0;0;0;0;0
Solanum_inaequale;1;2;0;0;0;0;0
Copaifera_langsdorffii;0;2;0;0;0;0;0
Solanum_paniculatum;0;2;0;0;0;0;0
Miconia_albicans;0;0;0;0;1;0;0