sp;Turdus_merula;Anthornis_melanura;Notiomystis_cincta;Nestor_meridionalis;Philesturnus_carunculatus;Prosthermadera_novae-seelandiae;Zosterops_lateralis;Mohua_albicilla
Aristotelia_serrata;9;0;0;0;0;15;23;0
Coprosma_grandifolia;39;7;33;0;30;60;56;2
Coprosma_robusta;140;11;11;0;7;150;153;5
Coriaria_arborea;4;0;0;0;0;28;46;1
Elaeocarpus_dentatus;13;0;0;6;0;3;0;0
Fuchsia_excorticata;23;2;5;3;0;25;5;0
Geniostoma_rupestre;1;0;21;0;0;0;319;6
Hedycarya_arborea;3;0;1;11;3;0;0;0
Melicytus_ramiflorus;102;17;35;4;11;67;209;24
Muehlenbeckia_australis;6;2;1;0;1;7;34;2
Myoporum_laevigatum;49;0;3;0;1;76;1;0
Myrsine_australis;43;1;3;3;4;55;78;5
Piper_excelsum;18;0;4;1;11;61;1;0
Pittosporum_eugenioides;6;0;0;0;2;4;84;13
Podocarpus_totara;0;1;7;0;0;8;12;1
Pseudopanax_arboreus;4;1;12;2;19;20;190;16
Ripogonum_scandens;6;0;1;3;1;4;0;0
Schefflera_digitata;2;2;41;0;54;4;169;2